#: table_doi: 10.17182/hepdata.48532.v1/t1
#: name: Table 1
#: description: The Collins and Sivers asymmetry as a function of X for 'ALL' positive pions from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table1.yaml
#: keyword reactions: MU+ DEUT --> MU+ PI+ X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
X,X LOW,X HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=Z),MEAN(NAME=PT) [GEV],ASYM(C=COLLINS),error +,error -
0.006469,0.003,0.008,1.24,0.65,0.29,0.53,-0.0647,0.0252,-0.0252
0.01059,0.008,0.013,1.45,0.46,0.33,0.52,-0.0039,0.0124,-0.0124
0.01643,0.013,0.02,1.67,0.34,0.35,0.49,0.0078,0.0093,-0.0093
0.02556,0.02,0.032,1.99,0.26,0.37,0.46,-0.0007,0.0079,-0.0079
0.03967,0.032,0.05,2.79,0.23,0.39,0.45,0.0131,0.0088,-0.0088
0.06255,0.05,0.08,4.54,0.24,0.38,0.46,0.0085,0.0111,-0.0111
0.1005,0.08,0.13,7.4,0.25,0.37,0.46,0.0018,0.0146,-0.0146
0.1609,0.13,0.21,11.8,0.24,0.37,0.47,0.0214,0.0218,-0.0218
0.2781,0.21,1.0,23.8,0.28,0.36,0.51,-0.0085,0.0376,-0.0376

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
X,X LOW,X HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=Z),MEAN(NAME=PT) [GEV],ASYM(C=SIVERS),error +,error -
0.006469,0.003,0.008,1.24,0.65,0.29,0.53,-0.0117,0.0156,-0.0156
0.01059,0.008,0.013,1.45,0.46,0.33,0.52,-0.0136,0.0101,-0.0101
0.01643,0.013,0.02,1.67,0.34,0.35,0.49,-0.008,0.0084,-0.0084
0.02556,0.02,0.032,1.99,0.26,0.37,0.46,0.0034,0.0074,-0.0074
0.03967,0.032,0.05,2.79,0.23,0.39,0.45,-0.0014,0.0083,-0.0083
0.06255,0.05,0.08,4.54,0.24,0.38,0.46,-0.0014,0.0104,-0.0104
0.1005,0.08,0.13,7.4,0.25,0.37,0.46,-0.018,0.0137,-0.0137
0.1609,0.13,0.21,11.8,0.24,0.37,0.47,-0.0317,0.0203,-0.0203
0.2781,0.21,1.0,23.8,0.28,0.36,0.51,0.0042,0.0343,-0.0343

