#: table_doi: 10.17182/hepdata.48532.v1/t10
#: name: Table 10
#: description: The Collins and Sivers asymmetry as a function of X for 'ALL' negative kaons from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table10.yaml
#: keyword reactions: MU+ DEUT --> MU+ K- X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Strange production | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
X,X LOW,X HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=Z),MEAN(NAME=PT) [GEV],ASYM(C=COLLINS),error +,error -
0.006431,0.003,0.008,1.25,0.66,0.3,0.57,0.0557,0.0541,-0.0541
0.01051,0.008,0.013,1.51,0.48,0.34,0.56,-0.0229,0.0286,-0.0286
0.01621,0.013,0.02,1.87,0.39,0.37,0.54,0.013,0.0257,-0.0257
0.0252,0.02,0.032,2.53,0.34,0.41,0.54,0.0265,0.026,-0.026
0.03966,0.032,0.05,3.87,0.33,0.42,0.53,0.0181,0.0317,-0.0317
0.06254,0.05,0.08,6.13,0.33,0.41,0.53,-0.0406,0.0394,-0.0394
0.09993,0.08,0.13,9.68,0.32,0.41,0.53,-0.079,0.0518,-0.0518
0.1599,0.13,0.21,15.8,0.33,0.4,0.54,-0.1907,0.0822,-0.0822
0.2852,0.21,1.0,31.4,0.36,0.37,0.54,0.0149,0.1516,-0.1516

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
X,X LOW,X HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=Z),MEAN(NAME=PT) [GEV],ASYM(C=SIVERS),error +,error -
0.006431,0.003,0.008,1.25,0.66,0.3,0.57,-0.0274,0.0319,-0.0319
0.01051,0.008,0.013,1.51,0.48,0.34,0.56,-0.0182,0.0226,-0.0226
0.01621,0.013,0.02,1.87,0.39,0.37,0.54,-0.014,0.0222,-0.0222
0.0252,0.02,0.032,2.53,0.34,0.41,0.54,-0.0081,0.0231,-0.0231
0.03966,0.032,0.05,3.87,0.33,0.42,0.53,-0.1027,0.0282,-0.0282
0.06254,0.05,0.08,6.13,0.33,0.41,0.53,0.0079,0.0357,-0.0357
0.09993,0.08,0.13,9.68,0.32,0.41,0.53,0.0184,0.0464,-0.0464
0.1599,0.13,0.21,15.8,0.33,0.4,0.54,-0.0004,0.0719,-0.0719
0.2852,0.21,1.0,31.4,0.36,0.37,0.54,0.0473,0.1281,-0.1281

