#: table_doi: 10.17182/hepdata.48532.v1/t11
#: name: Table 11
#: description: The Collins and Sivers asymmetry as a function of PT for 'ALL' negative kaons from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table11.yaml
#: keyword reactions: MU+ DEUT --> MU+ K- X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Strange production | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=Z),ASYM(C=COLLINS),error +,error -
0.154,0.1,0.2,3.27,0.39,0.032,0.38,-0.0153,0.039,-0.039
0.2516,0.2,0.3,3.27,0.4,0.032,0.37,-0.0486,0.0328,-0.0328
0.3501,0.3,0.4,3.29,0.4,0.031,0.37,0.0408,0.0324,-0.0324
0.4491,0.4,0.5,3.34,0.4,0.032,0.37,-0.0225,0.0328,-0.0328
0.5485,0.5,0.6,3.35,0.4,0.032,0.38,-0.0109,0.035,-0.035
0.6699,0.6,0.75,3.3,0.41,0.031,0.38,0.0098,0.0322,-0.0322
0.8183,0.75,0.9,3.3,0.41,0.031,0.39,0.0023,0.0402,-0.0402
1.052,0.9,1.3,3.34,0.42,0.03,0.4,0.0765,0.0392,-0.0392
1.57,1.3,10.0,3.5,0.47,0.028,0.41,-0.0747,0.0756,-0.0756

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=Z),ASYM(C=SIVERS),error +,error -
0.154,0.1,0.2,3.27,0.39,0.032,0.38,-0.0292,0.0331,-0.0331
0.2516,0.2,0.3,3.27,0.4,0.032,0.37,-0.0063,0.0276,-0.0276
0.3501,0.3,0.4,3.29,0.4,0.031,0.37,-0.0343,0.0272,-0.0272
0.4491,0.4,0.5,3.34,0.4,0.032,0.37,0.0132,0.0275,-0.0275
0.5485,0.5,0.6,3.35,0.4,0.032,0.38,0.0287,0.0294,-0.0294
0.6699,0.6,0.75,3.3,0.41,0.031,0.38,-0.0302,0.0269,-0.0269
0.8183,0.75,0.9,3.3,0.41,0.031,0.39,-0.0254,0.0333,-0.0333
1.052,0.9,1.3,3.34,0.42,0.03,0.4,-0.0827,0.0322,-0.0322
1.57,1.3,10.0,3.5,0.47,0.028,0.41,-0.1345,0.0577,-0.0577

