#: table_doi: 10.17182/hepdata.48532.v1/t14
#: name: Table 14
#: description: The Collins and Sivers asymmetry as a function of PT for 'ALL' neutral kaons from the 2002-2004 data.. Errors are statistical only.

#: data_file: Table14.yaml
#: keyword reactions: MU+ DEUT --> MU+ K0 X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Strange production | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K0 X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=Z),ASYM(C=COLLINS),error +,error -
0.2374,0.1,0.35,3.25,0.359,0.0358,0.346,0.0272,0.0336,-0.0336
0.4463,0.35,0.55,3.33,0.374,0.035,0.355,0.0095,0.0358,-0.0358
0.6411,0.55,0.75,3.32,0.388,0.0338,0.371,0.0307,0.0423,-0.0423
0.8558,0.75,1.0,3.39,0.407,0.0327,0.388,-0.0229,0.0556,-0.0556
1.2516,1.0,10.0,3.68,0.451,0.0315,0.406,0.0696,0.0737,-0.0737

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K0 X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=Z),ASYM(C=SIVERS),error +,error -
0.2374,0.1,0.35,3.25,0.359,0.0358,0.346,-0.0122,0.0291,-0.0291
0.4463,0.35,0.55,3.33,0.374,0.035,0.355,-0.0214,0.0306,-0.0306
0.6411,0.55,0.75,3.32,0.388,0.0338,0.371,-0.0056,0.0357,-0.0357
0.8558,0.75,1.0,3.39,0.407,0.0327,0.388,-0.0158,0.0459,-0.0459
1.2516,1.0,10.0,3.68,0.451,0.0315,0.406,-0.1314,0.0588,-0.0588

