#: table_doi: 10.17182/hepdata.48532.v1/t2
#: name: Table 2
#: description: The Collins and Sivers asymmetry as a function of PT for 'ALL' positive pions from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table2.yaml
#: keyword reactions: MU+ DEUT --> MU+ PI+ X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=Z),ASYM(C=COLLINS),error +,error -
0.1547,0.1,0.2,3.18,0.29,0.043,0.35,0.0214,0.0114,-0.0114
0.2519,0.2,0.3,3.14,0.29,0.042,0.35,0.0,0.0095,-0.0095
0.3496,0.3,0.4,3.14,0.3,0.041,0.35,-0.005,0.0092,-0.0092
0.4482,0.4,0.5,3.23,0.31,0.041,0.35,-0.0028,0.0099,-0.0099
0.5475,0.5,0.6,3.29,0.32,0.041,0.36,-0.0044,0.0114,-0.0114
0.6681,0.6,0.75,3.36,0.33,0.04,0.37,-0.0044,0.0114,-0.0114
0.817,0.75,0.9,3.46,0.34,0.04,0.39,0.0245,0.0157,-0.0157
1.042,0.9,1.3,3.61,0.36,0.039,0.41,0.0256,0.0173,-0.0173
1.549,1.3,10.0,4.08,0.43,0.038,0.43,-0.0456,0.0401,-0.0401

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=Z),ASYM(C=SIVERS),error +,error -
0.1547,0.1,0.2,3.18,0.29,0.043,0.35,0.0001,0.0104,-0.0104
0.2519,0.2,0.3,3.14,0.29,0.042,0.35,-0.0106,0.0087,-0.0087
0.3496,0.3,0.4,3.14,0.3,0.041,0.35,-0.006,0.0084,-0.0084
0.4482,0.4,0.5,3.23,0.31,0.041,0.35,-0.0028,0.0089,-0.0089
0.5475,0.5,0.6,3.29,0.32,0.041,0.36,0.0014,0.0102,-0.0102
0.6681,0.6,0.75,3.36,0.33,0.04,0.37,-0.0086,0.0102,-0.0102
0.817,0.75,0.9,3.46,0.34,0.04,0.39,0.0079,0.0138,-0.0138
1.042,0.9,1.3,3.61,0.36,0.039,0.41,-0.0329,0.0151,-0.0151
1.549,1.3,10.0,4.08,0.43,0.038,0.43,-0.0116,0.0327,-0.0327

