#: table_doi: 10.17182/hepdata.48532.v1/t3
#: name: Table 3
#: description: The Collins and Sivers asymmetry as a function of Z for 'ALL' positive pions from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table3.yaml
#: keyword reactions: MU+ DEUT --> MU+ PI+ X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
Z,Z LOW,Z HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=PT) [GEV],ASYM(C=COLLINS),error +,error -
0.2237,0.2,0.25,3.43,0.36,0.037,0.43,0.0013,0.0078,-0.0078
0.2737,0.25,0.3,3.37,0.34,0.039,0.45,-0.0055,0.009,-0.009
0.3237,0.3,0.35,3.33,0.32,0.041,0.48,0.0011,0.0106,-0.0106
0.3737,0.35,0.4,3.28,0.3,0.042,0.49,0.0134,0.0122,-0.0122
0.4448,0.4,0.5,3.19,0.28,0.044,0.52,0.0089,0.0109,-0.0109
0.5646,0.5,0.65,3.03,0.25,0.046,0.54,0.0106,0.0124,-0.0124
0.7164,0.65,0.8,2.74,0.22,0.046,0.54,-0.0048,0.0179,-0.0179
0.8787,0.8,1.0,2.4,0.19,0.045,0.47,-0.0107,0.0243,-0.0243

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
Z,Z LOW,Z HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=PT) [GEV],ASYM(C=SIVERS),error +,error -
0.2237,0.2,0.25,3.43,0.36,0.037,0.43,-0.0107,0.0068,-0.0068
0.2737,0.25,0.3,3.37,0.34,0.039,0.45,-0.0028,0.008,-0.008
0.3237,0.3,0.35,3.33,0.32,0.041,0.48,-0.0132,0.0094,-0.0094
0.3737,0.35,0.4,3.28,0.3,0.042,0.49,-0.0114,0.011,-0.011
0.4448,0.4,0.5,3.19,0.28,0.044,0.52,-0.0041,0.01,-0.01
0.5646,0.5,0.65,3.03,0.25,0.046,0.54,0.0147,0.0117,-0.0117
0.7164,0.65,0.8,2.74,0.22,0.046,0.54,0.0065,0.0171,-0.0171
0.8787,0.8,1.0,2.4,0.19,0.045,0.47,-0.0152,0.0234,-0.0234

