#: table_doi: 10.17182/hepdata.48532.v1/t5
#: name: Table 5
#: description: The Collins and Sivers asymmetry as a function of PT for 'ALL' negative pions from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table5.yaml
#: keyword reactions: MU+ DEUT --> MU+ PI- X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=Z),ASYM(C=COLLINS),error +,error -
0.1545,0.1,0.2,3.05,0.29,0.041,0.35,-0.0056,0.0123,-0.0123
0.252,0.2,0.3,3.0,0.3,0.04,0.35,-0.0007,0.0102,-0.0102
0.3497,0.3,0.4,3.01,0.31,0.039,0.35,-0.011,0.0099,-0.0099
0.4483,0.4,0.5,3.08,0.32,0.039,0.35,0.0142,0.0107,-0.0107
0.5475,0.5,0.6,3.15,0.33,0.038,0.35,0.0034,0.0122,-0.0122
0.668,0.6,0.75,3.23,0.34,0.038,0.36,0.0136,0.0124,-0.0124
0.8168,0.75,0.9,3.29,0.35,0.037,0.38,0.0368,0.0171,-0.0171
1.042,0.9,1.3,3.42,0.38,0.036,0.4,0.0143,0.0185,-0.0185
1.554,1.3,10.0,3.83,0.43,0.035,0.42,0.1183,0.0433,-0.0433

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=Z),ASYM(C=SIVERS),error +,error -
0.1545,0.1,0.2,3.05,0.29,0.041,0.35,0.0058,0.0112,-0.0112
0.252,0.2,0.3,3.0,0.3,0.04,0.35,-0.0098,0.0092,-0.0092
0.3497,0.3,0.4,3.01,0.31,0.039,0.35,-0.0146,0.0089,-0.0089
0.4483,0.4,0.5,3.08,0.32,0.039,0.35,-0.0183,0.0095,-0.0095
0.5475,0.5,0.6,3.15,0.33,0.038,0.35,-0.0021,0.0109,-0.0109
0.668,0.6,0.75,3.23,0.34,0.038,0.36,-0.0184,0.0109,-0.0109
0.8168,0.75,0.9,3.29,0.35,0.037,0.38,-0.0027,0.0149,-0.0149
1.042,0.9,1.3,3.42,0.38,0.036,0.4,-0.0097,0.0159,-0.0159
1.554,1.3,10.0,3.83,0.43,0.035,0.42,-0.0285,0.0349,-0.0349

