#: table_doi: 10.17182/hepdata.48532.v1/t6
#: name: Table 6
#: description: The Collins and Sivers asymmetry as a function of Z for 'ALL' negative pions from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table6.yaml
#: keyword reactions: MU+ DEUT --> MU+ PI- X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
Z,Z LOW,Z HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=PT) [GEV],ASYM(C=COLLINS),error +,error -
0.2236,0.2,0.25,3.31,0.37,0.036,0.44,0.014,0.0083,-0.0083
0.2736,0.25,0.3,3.25,0.35,0.038,0.46,0.014,0.0096,-0.0096
0.3236,0.3,0.35,3.19,0.33,0.039,0.48,0.0001,0.0113,-0.0113
0.3736,0.35,0.4,3.13,0.31,0.04,0.5,-0.0061,0.0132,-0.0132
0.4446,0.4,0.5,3.02,0.28,0.041,0.52,-0.0107,0.012,-0.012
0.5643,0.5,0.65,2.81,0.25,0.042,0.54,0.0086,0.0138,-0.0138
0.7171,0.65,0.8,2.51,0.22,0.042,0.52,0.0121,0.0199,-0.0199
0.8794,0.8,1.0,2.21,0.19,0.041,0.43,-0.0214,0.0254,-0.0254

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
Z,Z LOW,Z HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=PT) [GEV],ASYM(C=SIVERS),error +,error -
0.2236,0.2,0.25,3.31,0.37,0.036,0.44,-0.0137,0.0071,-0.0071
0.2736,0.25,0.3,3.25,0.35,0.038,0.46,-0.0123,0.0084,-0.0084
0.3236,0.3,0.35,3.19,0.33,0.039,0.48,-0.0043,0.01,-0.01
0.3736,0.35,0.4,3.13,0.31,0.04,0.5,0.0075,0.0118,-0.0118
0.4446,0.4,0.5,3.02,0.28,0.041,0.52,-0.0243,0.0109,-0.0109
0.5643,0.5,0.65,2.81,0.25,0.042,0.54,0.0024,0.013,-0.013
0.7171,0.65,0.8,2.51,0.22,0.042,0.52,-0.0344,0.019,-0.019
0.8794,0.8,1.0,2.21,0.19,0.041,0.43,0.0287,0.0247,-0.0247

