#: table_doi: 10.17182/hepdata.48532.v1/t8
#: name: Table 8
#: description: The Collins and Sivers asymmetry as a function of PT for 'ALL' positive kaons from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table8.yaml
#: keyword reactions: MU+ DEUT --> MU+ K+ X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Strange production | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=Z),ASYM(C=COLLINS),error +,error -
0.1543,0.1,0.2,3.75,0.38,0.039,0.39,-0.1139,0.0306,-0.0306
0.2519,0.2,0.3,3.75,0.38,0.039,0.39,0.031,0.0262,-0.0262
0.3503,0.3,0.4,3.77,0.37,0.039,0.39,0.0026,0.0251,-0.0251
0.4491,0.4,0.5,3.77,0.37,0.039,0.4,-0.0232,0.0259,-0.0259
0.5486,0.5,0.6,3.76,0.37,0.039,0.41,-0.0034,0.0276,-0.0276
0.6703,0.6,0.75,3.68,0.37,0.038,0.42,0.0262,0.0255,-0.0255
0.8192,0.75,0.9,3.71,0.37,0.038,0.43,-0.0322,0.0317,-0.0317
1.051,0.9,1.3,3.75,0.39,0.037,0.44,0.0219,0.0314,-0.0314
1.57,1.3,10.0,4.12,0.44,0.036,0.44,-0.0416,0.0622,-0.0622

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=Z),ASYM(C=SIVERS),error +,error -
0.1543,0.1,0.2,3.75,0.38,0.039,0.39,0.0132,0.0266,-0.0266
0.2519,0.2,0.3,3.75,0.38,0.039,0.39,0.0133,0.0226,-0.0226
0.3503,0.3,0.4,3.77,0.37,0.039,0.39,-0.0105,0.0215,-0.0215
0.4491,0.4,0.5,3.77,0.37,0.039,0.4,0.013,0.0221,-0.0221
0.5486,0.5,0.6,3.76,0.37,0.039,0.41,0.0421,0.0236,-0.0236
0.6703,0.6,0.75,3.68,0.37,0.038,0.42,-0.0162,0.0218,-0.0218
0.8192,0.75,0.9,3.71,0.37,0.038,0.43,0.0218,0.0273,-0.0273
1.051,0.9,1.3,3.75,0.39,0.037,0.44,0.0055,0.0266,-0.0266
1.57,1.3,10.0,4.12,0.44,0.036,0.44,0.0134,0.0504,-0.0504

