#: table_doi: 10.17182/hepdata.48532.v1/t9
#: name: Table 9
#: description: The Collins and Sivers asymmetry as a function of Z for 'ALL' positive kaons from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table9.yaml
#: keyword reactions: MU+ DEUT --> MU+ K+ X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Strange production | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
Z,Z LOW,Z HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=PT) [GEV],ASYM(C=COLLINS),error +,error -
0.2249,0.2,0.25,3.97,0.5,0.028,0.52,-0.0116,0.0266,-0.0266
0.2747,0.25,0.3,4.0,0.46,0.032,0.52,-0.0142,0.026,-0.026
0.3245,0.3,0.35,3.92,0.42,0.035,0.54,0.0039,0.0266,-0.0266
0.3742,0.35,0.4,3.87,0.38,0.038,0.55,0.0002,0.0282,-0.0282
0.4463,0.4,0.5,3.74,0.33,0.042,0.56,-0.0134,0.0219,-0.0219
0.5659,0.5,0.65,3.44,0.27,0.046,0.58,0.0013,0.0232,-0.0232
0.7142,0.65,0.8,3.25,0.23,0.051,0.62,-0.009,0.0336,-0.0336
0.8732,0.8,1.0,2.93,0.2,0.052,0.61,-0.0546,0.0519,-0.0519

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
Z,Z LOW,Z HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=PT) [GEV],ASYM(C=SIVERS),error +,error -
0.2249,0.2,0.25,3.97,0.5,0.028,0.52,0.0124,0.0203,-0.0203
0.2747,0.25,0.3,4.0,0.46,0.032,0.52,-0.0198,0.021,-0.021
0.3245,0.3,0.35,3.92,0.42,0.035,0.54,0.0041,0.022,-0.022
0.3742,0.35,0.4,3.87,0.38,0.038,0.55,0.0618,0.0241,-0.0241
0.4463,0.4,0.5,3.74,0.33,0.042,0.56,-0.001,0.0196,-0.0196
0.5659,0.5,0.65,3.44,0.27,0.046,0.58,0.0078,0.0216,-0.0216
0.7142,0.65,0.8,3.25,0.23,0.051,0.62,0.0022,0.032,-0.032
0.8732,0.8,1.0,2.93,0.2,0.052,0.61,0.0394,0.05,-0.05

