#: table_doi: 10.17182/hepdata.48532.v1/t16
#: name: Table 16
#: description: The Collins and Sivers asymmetry as a function of X for 'LEADING' positive pions from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table16.yaml
#: keyword reactions: MU+ DEUT --> MU+ PI+ X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
X,X LOW,X HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=Z),MEAN(NAME=PT) [GEV],ASYM(C=COLLINS),error +,error -
0.006523,0.003,0.008,1.23,0.64,0.34,0.56,-0.0775,0.0347,-0.0347
0.01062,0.008,0.013,1.43,0.46,0.39,0.55,-0.0094,0.0163,-0.0163
0.01646,0.013,0.02,1.64,0.34,0.42,0.52,0.0146,0.0119,-0.0119
0.02564,0.02,0.032,1.91,0.25,0.44,0.49,0.0044,0.0097,-0.0097
0.03969,0.032,0.05,2.62,0.22,0.45,0.47,0.0079,0.0106,-0.0106
0.06254,0.05,0.08,4.27,0.23,0.44,0.48,0.0124,0.0132,-0.0132
0.1006,0.08,0.13,7.02,0.23,0.43,0.49,0.0009,0.0175,-0.0175
0.1609,0.13,0.21,11.1,0.23,0.43,0.5,0.0264,0.0261,-0.0261
0.2763,0.21,1.0,22.4,0.26,0.42,0.54,0.0047,0.0454,-0.0454

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
X,X LOW,X HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=Z),MEAN(NAME=PT) [GEV],ASYM(C=SIVERS),error +,error -
0.006523,0.003,0.008,1.23,0.64,0.34,0.56,-0.0274,0.022,-0.022
0.01062,0.008,0.013,1.43,0.46,0.39,0.55,-0.0227,0.0134,-0.0134
0.01646,0.013,0.02,1.64,0.34,0.42,0.52,-0.0099,0.0107,-0.0107
0.02564,0.02,0.032,1.91,0.25,0.44,0.49,0.0012,0.0091,-0.0091
0.03969,0.032,0.05,2.62,0.22,0.45,0.47,0.0048,0.01,-0.01
0.06254,0.05,0.08,4.27,0.23,0.44,0.48,0.0069,0.0124,-0.0124
0.1006,0.08,0.13,7.02,0.23,0.43,0.49,-0.0205,0.0165,-0.0165
0.1609,0.13,0.21,11.1,0.23,0.43,0.5,-0.0294,0.0245,-0.0245
0.2763,0.21,1.0,22.4,0.26,0.42,0.54,-0.0013,0.0418,-0.0418

