#: table_doi: 10.17182/hepdata.48532.v1/t17
#: name: Table 17
#: description: The Collins and Sivers asymmetry as a function of PT for 'LEADING' positivepions from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table17.yaml
#: keyword reactions: MU+ DEUT --> MU+ PI+ X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=Z),ASYM(C=COLLINS),error +,error -
0.1547,0.1,0.2,3.08,0.27,0.045,0.42,0.031,0.0148,-0.0148
0.2519,0.2,0.3,3.07,0.27,0.044,0.42,-0.0052,0.0123,-0.0123
0.35,0.3,0.4,3.09,0.28,0.043,0.42,-0.0063,0.0118,-0.0118
0.4487,0.4,0.5,3.15,0.29,0.043,0.42,-0.0006,0.0123,-0.0123
0.5479,0.5,0.6,3.23,0.3,0.043,0.42,-0.0043,0.0138,-0.0138
0.669,0.6,0.75,3.3,0.31,0.042,0.43,-0.0012,0.0134,-0.0134
0.8176,0.75,0.9,3.41,0.32,0.042,0.44,0.0243,0.0179,-0.0179
1.044,0.9,1.3,3.59,0.34,0.041,0.46,0.0313,0.0191,-0.0191
1.553,1.3,10.0,4.09,0.4,0.04,0.47,-0.0318,0.0421,-0.0421

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=Z),ASYM(C=SIVERS),error +,error -
0.1547,0.1,0.2,3.08,0.27,0.045,0.42,0.0164,0.0136,-0.0136
0.2519,0.2,0.3,3.07,0.27,0.044,0.42,-0.0091,0.0113,-0.0113
0.35,0.3,0.4,3.09,0.28,0.043,0.42,-0.0074,0.0108,-0.0108
0.4487,0.4,0.5,3.15,0.29,0.043,0.42,-0.0111,0.0112,-0.0112
0.5479,0.5,0.6,3.23,0.3,0.043,0.42,0.0024,0.0126,-0.0126
0.669,0.6,0.75,3.3,0.31,0.042,0.43,-0.0101,0.0121,-0.0121
0.8176,0.75,0.9,3.41,0.32,0.042,0.44,0.0013,0.016,-0.016
1.044,0.9,1.3,3.59,0.34,0.041,0.46,-0.0357,0.017,-0.017
1.553,1.3,10.0,4.09,0.4,0.04,0.47,-0.0203,0.0354,-0.0354

