#: table_doi: 10.17182/hepdata.48532.v1/t18
#: name: Table 18
#: description: The Collins and Sivers asymmetry as a function of Z for 'LEADING' positive pions from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table18.yaml
#: keyword reactions: MU+ DEUT --> MU+ PI+ X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
Z,Z LOW,Z HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=PT) [GEV],ASYM(C=COLLINS),error +,error -
0.2744,0.25,0.3,3.39,0.34,0.04,0.46,0.004,0.0104,-0.0104
0.3241,0.3,0.35,3.37,0.33,0.041,0.48,-0.0036,0.0115,-0.0115
0.3739,0.35,0.4,3.33,0.31,0.043,0.5,0.0112,0.0129,-0.0129
0.4452,0.4,0.5,3.25,0.28,0.045,0.52,0.0077,0.0112,-0.0112
0.5648,0.5,0.65,3.03,0.25,0.046,0.54,0.0104,0.0124,-0.0124
0.7165,0.65,0.8,2.74,0.22,0.046,0.54,-0.0051,0.0179,-0.0179
0.8787,0.8,1.0,2.4,0.19,0.045,0.47,-0.0109,0.0243,-0.0243

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
Z,Z LOW,Z HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=PT) [GEV],ASYM(C=SIVERS),error +,error -
0.2744,0.25,0.3,3.39,0.34,0.04,0.46,-0.0174,0.0091,-0.0091
0.3241,0.3,0.35,3.37,0.33,0.041,0.48,-0.0126,0.0102,-0.0102
0.3739,0.35,0.4,3.33,0.31,0.043,0.5,-0.009,0.0116,-0.0116
0.4452,0.4,0.5,3.25,0.28,0.045,0.52,-0.0021,0.0102,-0.0102
0.5648,0.5,0.65,3.03,0.25,0.046,0.54,0.0138,0.0117,-0.0117
0.7165,0.65,0.8,2.74,0.22,0.046,0.54,0.0069,0.0172,-0.0172
0.8787,0.8,1.0,2.4,0.19,0.045,0.47,-0.0157,0.0234,-0.0234

