#: table_doi: 10.17182/hepdata.48532.v1/t19
#: name: Table 19
#: description: The Collins and Sivers asymmetry as a function of X for 'LEADING' negative pions from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table19.yaml
#: keyword reactions: MU+ DEUT --> MU+ PI- X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
X,X LOW,X HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=Z),MEAN(NAME=PT) [GEV],ASYM(C=COLLINS),error +,error -
0.006505,0.003,0.008,1.23,0.64,0.34,0.57,0.0423,0.0354,-0.0354
0.0106,0.008,0.013,1.44,0.46,0.39,0.55,0.0016,0.0168,-0.0168
0.01644,0.013,0.02,1.65,0.34,0.42,0.52,0.0143,0.0126,-0.0126
0.02561,0.02,0.032,1.94,0.25,0.44,0.49,-0.0031,0.0105,-0.0105
0.03965,0.032,0.05,2.65,0.22,0.45,0.47,-0.0038,0.0116,-0.0116
0.06245,0.05,0.08,4.32,0.23,0.44,0.48,0.0014,0.0147,-0.0147
0.1004,0.08,0.13,7.01,0.23,0.43,0.48,0.0137,0.0198,-0.0198
0.1607,0.13,0.21,11.1,0.23,0.42,0.5,0.0064,0.0308,-0.0308
0.2767,0.21,1.0,22.4,0.26,0.41,0.54,-0.0124,0.0581,-0.0581

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
X,X LOW,X HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=Z),MEAN(NAME=PT) [GEV],ASYM(C=SIVERS),error +,error -
0.006505,0.003,0.008,1.23,0.64,0.34,0.57,0.0072,0.0222,-0.0222
0.0106,0.008,0.013,1.44,0.46,0.39,0.55,-0.0118,0.0138,-0.0138
0.01644,0.013,0.02,1.65,0.34,0.42,0.52,-0.019,0.0114,-0.0114
0.02561,0.02,0.032,1.94,0.25,0.44,0.49,-0.0037,0.0099,-0.0099
0.03965,0.032,0.05,2.65,0.22,0.45,0.47,-0.0004,0.0109,-0.0109
0.06245,0.05,0.08,4.32,0.23,0.44,0.48,0.0022,0.0138,-0.0138
0.1004,0.08,0.13,7.01,0.23,0.43,0.48,-0.0254,0.0186,-0.0186
0.1607,0.13,0.21,11.1,0.23,0.42,0.5,-0.0239,0.0288,-0.0288
0.2767,0.21,1.0,22.4,0.26,0.41,0.54,-0.0373,0.053,-0.053

