#: table_doi: 10.17182/hepdata.48532.v1/t20
#: name: Table 20
#: description: The Collins and Sivers asymmetry as a function of PT for 'LEADING' negativepions from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table20.yaml
#: keyword reactions: MU+ DEUT --> MU+ PI- X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=Z),ASYM(C=COLLINS),error +,error -
0.1544,0.1,0.2,2.92,0.27,0.042,0.43,-0.0229,0.016,-0.016
0.2518,0.2,0.3,2.9,0.28,0.041,0.43,-0.001,0.0132,-0.0132
0.35,0.3,0.4,2.93,0.29,0.041,0.42,-0.0181,0.0128,-0.0128
0.4488,0.4,0.5,3.0,0.3,0.04,0.42,0.0136,0.0135,-0.0135
0.5479,0.5,0.6,3.07,0.31,0.04,0.41,0.0033,0.015,-0.015
0.6688,0.6,0.75,3.16,0.32,0.04,0.42,0.0198,0.0148,-0.0148
0.8174,0.75,0.9,3.22,0.33,0.039,0.43,0.0291,0.0197,-0.0197
1.044,0.9,1.3,3.39,0.35,0.038,0.45,0.0091,0.0204,-0.0204
1.559,1.3,10.0,3.81,0.41,0.036,0.46,0.1363,0.0464,-0.0464

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=Z),ASYM(C=SIVERS),error +,error -
0.1544,0.1,0.2,2.92,0.27,0.042,0.43,0.0179,0.0147,-0.0147
0.2518,0.2,0.3,2.9,0.28,0.041,0.43,-0.0197,0.0121,-0.0121
0.35,0.3,0.4,2.93,0.29,0.041,0.42,-0.0088,0.0116,-0.0116
0.4488,0.4,0.5,3.0,0.3,0.04,0.42,-0.0124,0.0123,-0.0123
0.5479,0.5,0.6,3.07,0.31,0.04,0.41,-0.0079,0.0135,-0.0135
0.6688,0.6,0.75,3.16,0.32,0.04,0.42,-0.0102,0.0133,-0.0133
0.8174,0.75,0.9,3.22,0.33,0.039,0.43,0.0079,0.0176,-0.0176
1.044,0.9,1.3,3.39,0.35,0.038,0.45,-0.0239,0.0179,-0.0179
1.559,1.3,10.0,3.81,0.41,0.036,0.46,-0.0499,0.0385,-0.0385

