#: table_doi: 10.17182/hepdata.48532.v1/t21
#: name: Table 21
#: description: The Collins and Sivers asymmetry as a function of Z for 'LEADING' negative pions from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table21.yaml
#: keyword reactions: MU+ DEUT --> MU+ PI- X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
Z,Z LOW,Z HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=PT) [GEV],ASYM(C=COLLINS),error +,error -
0.2743,0.25,0.3,3.26,0.35,0.037,0.47,0.0182,0.0111,-0.0111
0.324,0.3,0.35,3.23,0.34,0.039,0.49,0.0021,0.0123,-0.0123
0.3738,0.35,0.4,3.17,0.32,0.04,0.51,-0.0065,0.014,-0.014
0.445,0.4,0.5,3.07,0.29,0.042,0.53,-0.0085,0.0123,-0.0123
0.5646,0.5,0.65,2.82,0.25,0.042,0.54,0.0093,0.0138,-0.0138
0.7171,0.65,0.8,2.51,0.22,0.042,0.52,0.0121,0.0199,-0.0199
0.8794,0.8,1.0,2.21,0.19,0.041,0.43,-0.0214,0.0254,-0.0254

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ PI- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
Z,Z LOW,Z HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=PT) [GEV],ASYM(C=SIVERS),error +,error -
0.2743,0.25,0.3,3.26,0.35,0.037,0.47,-0.0101,0.0097,-0.0097
0.324,0.3,0.35,3.23,0.34,0.039,0.49,-0.006,0.0109,-0.0109
0.3738,0.35,0.4,3.17,0.32,0.04,0.51,0.0085,0.0125,-0.0125
0.445,0.4,0.5,3.07,0.29,0.042,0.53,-0.026,0.0113,-0.0113
0.5646,0.5,0.65,2.82,0.25,0.042,0.54,0.0012,0.013,-0.013
0.7171,0.65,0.8,2.51,0.22,0.042,0.52,-0.0355,0.019,-0.019
0.8794,0.8,1.0,2.21,0.19,0.041,0.43,0.0282,0.0247,-0.0247

