#: table_doi: 10.17182/hepdata.48532.v1/t22
#: name: Table 22
#: description: The Collins and Sivers asymmetry as a function of X for 'LEADING' positive kaons from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table22.yaml
#: keyword reactions: MU+ DEUT --> MU+ K+ X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Strange production | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
X,X LOW,X HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=Z),MEAN(NAME=PT) [GEV],ASYM(C=COLLINS),error +,error -
0.006512,0.003,0.008,1.23,0.64,0.35,0.6,0.0169,0.0631,-0.0631
0.01059,0.008,0.013,1.46,0.46,0.4,0.59,-0.017,0.03,-0.03
0.01635,0.013,0.02,1.73,0.36,0.43,0.58,0.0294,0.0241,-0.0241
0.02538,0.02,0.032,2.23,0.29,0.48,0.56,0.0272,0.0226,-0.0226
0.03981,0.032,0.05,3.32,0.28,0.5,0.55,-0.0339,0.0261,-0.0261
0.06283,0.05,0.08,5.32,0.28,0.49,0.55,-0.0283,0.0304,-0.0304
0.101,0.08,0.13,8.48,0.28,0.49,0.55,-0.0293,0.0391,-0.0391
0.1606,0.13,0.21,13.4,0.28,0.49,0.55,-0.1765,0.0573,-0.0573
0.283,0.21,1.0,26.7,0.31,0.48,0.58,-0.0887,0.0948,-0.0948

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
X,X LOW,X HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=Z),MEAN(NAME=PT) [GEV],ASYM(C=SIVERS),error +,error -
0.006512,0.003,0.008,1.23,0.64,0.35,0.6,-0.0636,0.0391,-0.0391
0.01059,0.008,0.013,1.46,0.46,0.4,0.59,-0.0393,0.0242,-0.0242
0.01635,0.013,0.02,1.73,0.36,0.43,0.58,0.024,0.0213,-0.0213
0.02538,0.02,0.032,2.23,0.29,0.48,0.56,0.0292,0.0207,-0.0207
0.03981,0.032,0.05,3.32,0.28,0.5,0.55,0.0079,0.024,-0.024
0.06283,0.05,0.08,5.32,0.28,0.49,0.55,0.0318,0.028,-0.028
0.101,0.08,0.13,8.48,0.28,0.49,0.55,-0.0096,0.036,-0.036
0.1606,0.13,0.21,13.4,0.28,0.49,0.55,-0.0081,0.0525,-0.0525
0.283,0.21,1.0,26.7,0.31,0.48,0.58,0.0267,0.0876,-0.0876

