#: table_doi: 10.17182/hepdata.48532.v1/t24
#: name: Table 24
#: description: The Collins and Sivers asymmetry as a function of Z for 'LEADING' positive kaons from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table24.yaml
#: keyword reactions: MU+ DEUT --> MU+ K+ X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Strange production | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
Z,Z LOW,Z HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=PT) [GEV],ASYM(C=COLLINS),error +,error -
0.2753,0.25,0.3,3.93,0.46,0.031,0.53,-0.0027,0.0293,-0.0293
0.3248,0.3,0.35,3.9,0.42,0.035,0.54,0.009,0.0285,-0.0285
0.3744,0.35,0.4,3.91,0.38,0.038,0.55,-0.0112,0.0293,-0.0293
0.4467,0.4,0.5,3.78,0.33,0.042,0.57,-0.0215,0.0225,-0.0225
0.566,0.5,0.65,3.44,0.27,0.046,0.58,0.0019,0.0232,-0.0232
0.7142,0.65,0.8,3.25,0.23,0.051,0.62,-0.0082,0.0336,-0.0336
0.8732,0.8,1.0,2.93,0.2,0.052,0.61,-0.0536,0.0519,-0.0519

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K+ X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
Z,Z LOW,Z HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=PT) [GEV],ASYM(C=SIVERS),error +,error -
0.2753,0.25,0.3,3.93,0.46,0.031,0.53,-0.0373,0.0235,-0.0235
0.3248,0.3,0.35,3.9,0.42,0.035,0.54,0.0004,0.0235,-0.0235
0.3744,0.35,0.4,3.91,0.38,0.038,0.55,0.0614,0.0251,-0.0251
0.4467,0.4,0.5,3.78,0.33,0.042,0.57,-0.0023,0.0202,-0.0202
0.566,0.5,0.65,3.44,0.27,0.046,0.58,0.0074,0.0216,-0.0216
0.7142,0.65,0.8,3.25,0.23,0.051,0.62,0.0027,0.032,-0.032
0.8732,0.8,1.0,2.93,0.2,0.052,0.61,0.0391,0.0501,-0.0501

