#: table_doi: 10.17182/hepdata.48532.v1/t25
#: name: Table 25
#: description: The Collins and Sivers asymmetry as a function of X for 'LEADING' negative kaons from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table25.yaml
#: keyword reactions: MU+ DEUT --> MU+ K- X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Strange production | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
X,X LOW,X HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=Z),MEAN(NAME=PT) [GEV],ASYM(C=COLLINS),error +,error -
0.006479,0.003,0.008,1.23,0.65,0.35,0.6,0.053,0.0685,-0.0685
0.01056,0.008,0.013,1.48,0.47,0.4,0.58,-0.0271,0.035,-0.035
0.01627,0.013,0.02,1.78,0.37,0.42,0.57,0.0144,0.0302,-0.0302
0.02525,0.02,0.032,2.34,0.31,0.45,0.55,0.0302,0.0292,-0.0292
0.03961,0.032,0.05,3.55,0.3,0.47,0.55,0.0152,0.0353,-0.0353
0.06252,0.05,0.08,5.63,0.3,0.46,0.55,0.0104,0.0444,-0.0444
0.09997,0.08,0.13,8.9,0.3,0.46,0.54,-0.0745,0.0577,-0.0577
0.1595,0.13,0.21,14.4,0.3,0.45,0.56,-0.1574,0.0921,-0.0921
0.2812,0.21,1.0,27.9,0.33,0.43,0.57,0.0668,0.1658,-0.1658

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
X,X LOW,X HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=Z),MEAN(NAME=PT) [GEV],ASYM(C=SIVERS),error +,error -
0.006479,0.003,0.008,1.23,0.65,0.35,0.6,-0.016,0.0412,-0.0412
0.01056,0.008,0.013,1.48,0.47,0.4,0.58,-0.0273,0.028,-0.028
0.01627,0.013,0.02,1.78,0.37,0.42,0.57,-0.0428,0.0266,-0.0266
0.02525,0.02,0.032,2.34,0.31,0.45,0.55,0.012,0.0265,-0.0265
0.03961,0.032,0.05,3.55,0.3,0.47,0.55,-0.1005,0.0321,-0.0321
0.06252,0.05,0.08,5.63,0.3,0.46,0.55,-0.0322,0.041,-0.041
0.09997,0.08,0.13,8.9,0.3,0.46,0.54,0.0646,0.0529,-0.0529
0.1595,0.13,0.21,14.4,0.3,0.45,0.56,-0.0053,0.0817,-0.0817
0.2812,0.21,1.0,27.9,0.33,0.43,0.57,0.2372,0.1529,-0.1529

