#: table_doi: 10.17182/hepdata.48532.v1/t26
#: name: Table 26
#: description: The Collins and Sivers asymmetry as a function of PT for 'LEADING' negativekaons from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table26.yaml
#: keyword reactions: MU+ DEUT --> MU+ K- X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Strange production | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=Z),ASYM(C=COLLINS),error +,error -
0.1539,0.1,0.2,3.08,0.36,0.033,0.43,-0.0038,0.0469,-0.0469
0.2518,0.2,0.3,3.13,0.36,0.033,0.43,-0.0815,0.0388,-0.0388
0.3504,0.3,0.4,3.15,0.37,0.033,0.42,0.0431,0.0381,-0.0381
0.4495,0.4,0.5,3.21,0.37,0.033,0.42,-0.0165,0.0382,-0.0382
0.5488,0.5,0.6,3.19,0.37,0.033,0.43,0.0043,0.0409,-0.0409
0.6703,0.6,0.75,3.19,0.38,0.032,0.43,0.0217,0.0371,-0.0371
0.8184,0.75,0.9,3.19,0.38,0.032,0.44,0.0036,0.0442,-0.0442
1.054,0.9,1.3,3.27,0.4,0.031,0.44,0.0945,0.0432,-0.0432
1.578,1.3,10.0,3.44,0.45,0.029,0.45,-0.0319,0.0814,-0.0814

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=Z),ASYM(C=SIVERS),error +,error -
0.1539,0.1,0.2,3.08,0.36,0.033,0.43,-0.0208,0.041,-0.041
0.2518,0.2,0.3,3.13,0.36,0.033,0.43,0.007,0.0337,-0.0337
0.3504,0.3,0.4,3.15,0.37,0.033,0.42,-0.0301,0.0329,-0.0329
0.4495,0.4,0.5,3.21,0.37,0.033,0.42,0.0141,0.0328,-0.0328
0.5488,0.5,0.6,3.19,0.37,0.033,0.43,0.0345,0.0353,-0.0353
0.6703,0.6,0.75,3.19,0.38,0.032,0.43,-0.0381,0.0317,-0.0317
0.8184,0.75,0.9,3.19,0.38,0.032,0.44,0.0016,0.0375,-0.0375
1.054,0.9,1.3,3.27,0.4,0.031,0.44,-0.1371,0.0363,-0.0363
1.578,1.3,10.0,3.44,0.45,0.029,0.45,-0.1541,0.0641,-0.0641

