#: table_doi: 10.17182/hepdata.48532.v1/t27
#: name: Table 27
#: description: The Collins and Sivers asymmetry as a function of Z for 'LEADING' negative kaons from the 2003-2004 data.. Errors are statistical only.

#: data_file: Table27.yaml
#: keyword reactions: MU+ DEUT --> MU+ K- X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Strange production | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
Z,Z LOW,Z HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=PT) [GEV],ASYM(C=COLLINS),error +,error -
0.2749,0.25,0.3,3.39,0.47,0.027,0.54,-0.0239,0.0354,-0.0354
0.3246,0.3,0.35,3.45,0.44,0.03,0.55,0.0337,0.0348,-0.0348
0.3744,0.35,0.4,3.37,0.4,0.032,0.57,0.0285,0.0374,-0.0374
0.4458,0.4,0.5,3.18,0.35,0.034,0.58,-0.0465,0.0294,-0.0294
0.5643,0.5,0.65,2.85,0.29,0.037,0.57,0.019,0.0313,-0.0313
0.7111,0.65,0.8,2.68,0.25,0.04,0.6,0.0748,0.0515,-0.0515
0.8679,0.8,1.0,2.45,0.23,0.039,0.55,0.0825,0.0897,-0.0897

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K- X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
Z,Z LOW,Z HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=PT) [GEV],ASYM(C=SIVERS),error +,error -
0.2749,0.25,0.3,3.39,0.47,0.027,0.54,-0.013,0.0278,-0.0278
0.3246,0.3,0.35,3.45,0.44,0.03,0.55,-0.0254,0.0282,-0.0282
0.3744,0.35,0.4,3.37,0.4,0.032,0.57,-0.0225,0.0313,-0.0313
0.4458,0.4,0.5,3.18,0.35,0.034,0.58,-0.0328,0.026,-0.026
0.5643,0.5,0.65,2.85,0.29,0.037,0.57,-0.0056,0.0291,-0.0291
0.7111,0.65,0.8,2.68,0.25,0.04,0.6,-0.1359,0.0487,-0.0487
0.8679,0.8,1.0,2.45,0.23,0.039,0.55,0.1012,0.0869,-0.0869

