#: table_doi: 10.17182/hepdata.48532.v1/t28
#: name: Table 28
#: description: The Collins and Sivers asymmetry as a function of X for 'LEADING' neutral kaons from the 2002-2004 data.. Errors are statistical only.

#: data_file: Table28.yaml
#: keyword reactions: MU+ DEUT --> MU+ K0 X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Strange production | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K0 X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
X,X LOW,X HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=Z),MEAN(NAME=PT) [GEV],ASYM(C=COLLINS),error +,error -
0.00906,0.003,0.013,1.43,0.552,0.4,0.583,0.068,0.053,-0.053
0.0211,0.013,0.032,2.03,0.332,0.414,0.545,0.0011,0.0343,-0.0343
0.04859,0.032,0.08,3.96,0.272,0.434,0.512,-0.037,0.0424,-0.0424
0.10018,0.08,0.13,8.19,0.274,0.431,0.519,0.0535,0.0915,-0.0915
0.19292,0.13,1.0,17.2,0.29,0.431,0.551,0.111,0.1252,-0.1252

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K0 X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
X,X LOW,X HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=Z),MEAN(NAME=PT) [GEV],ASYM(C=SIVERS),error +,error -
0.00906,0.003,0.013,1.43,0.552,0.4,0.583,-0.0193,0.0376,-0.0376
0.0211,0.013,0.032,2.03,0.332,0.414,0.545,-0.0379,0.0308,-0.0308
0.04859,0.032,0.08,3.96,0.272,0.434,0.512,0.0241,0.0389,-0.0389
0.10018,0.08,0.13,8.19,0.274,0.431,0.519,0.0083,0.0857,-0.0857
0.19292,0.13,1.0,17.2,0.29,0.431,0.551,0.1252,0.1143,-0.1143

