#: table_doi: 10.17182/hepdata.48532.v1/t30
#: name: Table 30
#: description: The Collins and Sivers asymmetry as a function of Z for 'LEADING' neutral kaons from the 2002-2004 data.. Errors are statistical only.

#: data_file: Table30.yaml
#: keyword reactions: MU+ DEUT --> MU+ K0 X
#: keyword observables: ASYM
#: keyword phrases: Inclusive | Asymmetry Measurement | Strange production | Muon production | Neutral Current | Deep Inelastic Scattering
#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K0 X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
Z,Z LOW,Z HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=PT) [GEV],ASYM(C=COLLINS),error +,error -
0.2866,0.25,0.325,3.38,0.404,0.0324,0.51,0.0008,0.0427,-0.0427
0.372,0.325,0.425,3.3,0.368,0.0353,0.536,-0.0488,0.0404,-0.0404
0.4807,0.425,0.55,3.13,0.342,0.0371,0.558,0.0574,0.0472,-0.0472
0.6111,0.55,0.7,3.03,0.327,0.0384,0.596,0.1045,0.0659,-0.0659
0.7804,0.7,1.0,2.97,0.305,0.0413,0.633,0.0658,0.0956,-0.0956

#: PLAB [GeV],,,160.0
#: RE,,,MU+ DEUT --> MU+ K0 X
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.
Z,Z LOW,Z HIGH,MEAN(NAME=Q**2) [GEV**2],MEAN(NAME=Y),MEAN(NAME=X),MEAN(NAME=PT) [GEV],ASYM(C=SIVERS),error +,error -
0.2866,0.25,0.325,3.38,0.404,0.0324,0.51,-0.0107,0.0356,-0.0356
0.372,0.325,0.425,3.3,0.368,0.0353,0.536,0.0141,0.0346,-0.0346
0.4807,0.425,0.55,3.13,0.342,0.0371,0.558,-0.0473,0.0412,-0.0412
0.6111,0.55,0.7,3.03,0.327,0.0384,0.596,0.016,0.0576,-0.0576
0.7804,0.7,1.0,2.97,0.305,0.0413,0.633,-0.1024,0.0866,-0.0866

