hadron,Q2,x,y,z,phT,Siv,stat,sys,tot_err,1D_dependence,,,
pi+,1.29,0.036,0.702,0.336,0.486,0.0289,0.0085,0.0021,0.00875557,x,,,
pi+,1.64,0.056,0.567,0.356,0.408,0.0285,0.0072,0.0017,0.007397973,x,,,
pi+,1.98,0.074,0.516,0.366,0.375,0.0571,0.0087,0.0012,0.008782369,x,,,
pi+,2.34,0.093,0.489,0.374,0.358,0.047,0.0074,0.0023,0.007749194,x,,,
pi+,2.34,0.093,0.489,0.374,0.358,0.047,0.0074,0.0023,0.007749194,x,,,
pi+,2.87,0.118,0.469,0.379,0.348,0.0383,0.0075,0.0012,0.007595393,x,,,
pi+,3.69,0.157,0.456,0.379,0.342,0.04,0.0074,0.0019,0.007640026,x,,,
pi+,5.71,0.254,0.437,0.375,0.343,0.0571,0.0085,0.0039,0.009352005,x,,,
pi+,2.44,0.087,0.594,0.229,0.344,0.0257,0.0054,0.001,0.005491812,z,,,
pi+,2.46,0.094,0.556,0.289,0.371,0.0334,0.0059,0.0012,0.006020797,z,,,
pi+,2.45,0.098,0.533,0.349,0.394,0.0454,0.0067,0.003,0.007340981,z,,,
pi+,2.45,0.1,0.52,0.413,0.418,0.0355,0.0073,0.0036,0.00813941,z,,,
pi+,2.44,0.101,0.508,0.483,0.441,0.0444,0.0087,0.0076,0.011552056,z,,,
pi+,2.44,0.101,0.508,0.483,0.441,0.0444,0.0087,0.0076,0.011552056,z,,,
pi+,2.43,0.102,0.499,0.558,0.46,0.0699,0.0097,0.0077,0.012384668,z,,,
pi+,2.41,0.104,0.481,0.647,0.466,0.0691,0.0105,0.0113,0.015425304,z,,,
pi+,2.41,0.107,0.457,0.729,0.453,0.101,0.016,0.014,0.021260292,z,,,
pi+,2.35,0.108,0.434,0.798,0.433,0.0707,0.0162,0.0164,0.023052115,z,,,
pi+,2.31,0.116,0.394,0.916,0.376,-0.0025,0.0145,0.0164,0.021890866,z,,,
pi+,2.56,0.11,0.46,0.341,0.11,0.0001,0.0069,0.0004,0.006911584,phT,,,
pi+,2.56,0.108,0.489,0.35,0.211,0.0189,0.0073,0.0013,0.00741485,phT,,,
pi+,2.52,0.103,0.514,0.354,0.28,0.0338,0.0083,0.0011,0.008372574,phT,,,
pi+,2.46,0.097,0.54,0.355,0.345,0.0434,0.0077,0.0052,0.009291394,phT,,,
pi+,2.46,0.097,0.54,0.355,0.345,0.0434,0.0077,0.0052,0.009291394,phT,,,
pi+,2.39,0.09,0.57,0.356,0.446,0.062,0.0059,0.0077,0.009700515,phT,,,
pi+,2.34,0.084,0.601,0.373,0.594,0.059,0.0069,0.0108,0.012816006,phT,,,
pi+,2.3,0.076,0.642,0.429,0.849,0.068,0.0084,0.0069,0.010870603,phT,,,
pi0,1.3,0.036,0.712,0.325,0.492,-0.0132,0.0305,0.0195,0.036200829,x,,,
pi0,1.72,0.056,0.597,0.352,0.406,-0.0145,0.0253,0.0195,0.031942761,x,,,
pi0,2.14,0.074,0.558,0.366,0.374,0.0556,0.0291,0.0197,0.035141144,x,,,
pi0,2.58,0.093,0.538,0.372,0.353,0.0339,0.024,0.0192,0.030734996,x,,,
pi0,2.58,0.093,0.538,0.372,0.353,0.0339,0.024,0.0192,0.030734996,x,,,
pi0,3.19,0.118,0.522,0.378,0.338,0.0196,0.0244,0.0193,0.031110288,x,,,
pi0,4.1,0.156,0.507,0.38,0.323,0.0312,0.0227,0.0192,0.02973096,x,,,
pi0,6.14,0.249,0.479,0.386,0.326,0.0437,0.0266,0.0198,0.033160217,x,,,
pi0,2.45,0.078,0.648,0.229,0.337,0.0165,0.0262,0.0222,0.034340646,z,,,
pi0,2.49,0.085,0.609,0.289,0.372,-0.0243,0.0217,0.0226,0.031331294,z,,,
pi0,2.52,0.09,0.581,0.348,0.401,0.0148,0.0217,0.0221,0.030972569,z,,,
pi0,2.53,0.095,0.558,0.413,0.427,0.0536,0.0203,0.0225,0.030304125,z,,,
pi0,2.55,0.099,0.537,0.483,0.45,0.0452,0.021,0.0236,0.031590505,z,,,
pi0,2.55,0.099,0.537,0.483,0.45,0.0452,0.021,0.0236,0.031590505,z,,,
pi0,2.57,0.102,0.517,0.557,0.469,0.0225,0.022,0.024,0.032557641,z,,,
pi0,2.59,0.106,0.496,0.645,0.483,0.0738,0.0225,0.0234,0.03246244,z,,,
pi0,2.61,0.112,0.472,0.728,0.494,0.0384,0.0353,0.0254,0.043488504,z,,,
pi0,2.66,0.116,0.457,0.796,0.488,0.1329,0.0378,0.0223,0.043887698,z,,,
pi0,2.56,0.121,0.418,0.908,0.478,0.0734,0.0437,0.0225,0.049152213,z,,,
pi0,2.82,0.114,0.481,0.338,0.111,-0.0108,0.0265,0.0185,0.032318725,phT,,,
pi0,2.69,0.103,0.529,0.34,0.211,0.0483,0.0267,0.0184,0.03242607,phT,,,
pi0,2.59,0.095,0.563,0.343,0.28,0.0635,0.0283,0.0184,0.03375574,phT,,,
pi0,2.49,0.088,0.591,0.347,0.345,0.0237,0.0273,0.0188,0.033147096,phT,,,
pi0,2.49,0.088,0.591,0.347,0.345,0.0237,0.0273,0.0188,0.033147096,phT,,,
pi0,2.39,0.081,0.624,0.353,0.446,0.0332,0.019,0.0201,0.027658814,phT,,,
pi0,2.3,0.074,0.652,0.371,0.595,0.0101,0.0195,0.0196,0.027647966,phT,,,
pi0,2.27,0.071,0.675,0.428,0.849,0.0322,0.0197,0.0184,0.026956446,phT,,,
pi-,1.29,0.036,0.704,0.33,0.481,0.0123,0.0093,0.0009,0.009343447,x,,,
pi-,1.64,0.056,0.568,0.35,0.402,0.0139,0.0081,0.0002,0.008102469,x,,,
pi-,1.98,0.074,0.515,0.359,0.369,-0.0024,0.0099,0.0004,0.009908078,x,,,
pi-,2.33,0.093,0.487,0.366,0.354,-0.0077,0.0087,0.0008,0.008736704,x,,,
pi-,2.33,0.093,0.487,0.366,0.354,-0.0077,0.0087,0.0008,0.008736704,x,,,
pi-,2.86,0.118,0.468,0.369,0.348,-0.0063,0.009,0.0007,0.009027181,x,,,
pi-,3.66,0.156,0.454,0.369,0.342,0.0197,0.0091,0.0011,0.009166242,x,,,
pi-,5.66,0.253,0.434,0.364,0.349,-0.0057,0.0109,0.002,0.011081967,x,,,
pi-,2.39,0.084,0.598,0.229,0.35,0.0099,0.0061,0.0025,0.00659242,z,,,
pi-,2.38,0.091,0.559,0.289,0.379,0.0133,0.0068,0.0049,0.008381527,z,,,
pi-,2.36,0.094,0.536,0.348,0.403,0.0125,0.0079,0.0045,0.009091755,z,,,
pi-,2.37,0.097,0.521,0.413,0.422,0.01,0.0088,0.0078,0.011759252,z,,,
pi-,2.35,0.098,0.509,0.483,0.437,0.0028,0.0106,0.0092,0.014035669,z,,,
pi-,2.35,0.098,0.509,0.483,0.437,0.0028,0.0106,0.0092,0.014035669,z,,,
pi-,2.31,0.098,0.498,0.558,0.449,-0.0095,0.012,0.0112,0.016414628,z,,,
pi-,2.27,0.099,0.479,0.646,0.438,0.0112,0.0134,0.0142,0.019524344,z,,,
pi-,2.19,0.099,0.452,0.729,0.416,-0.0286,0.0208,0.0103,0.023210558,z,,,
pi-,2.15,0.101,0.432,0.798,0.389,-0.0424,0.0205,0.0188,0.027815284,z,,,
pi-,2.08,0.104,0.399,0.906,0.338,-0.0395,0.0199,0.0218,0.029516944,z,,,
pi-,2.48,0.107,0.462,0.337,0.11,0.0085,0.0081,0.0028,0.008570298,phT,,,
pi-,2.47,0.103,0.492,0.345,0.211,0.0157,0.0087,0.0033,0.009304837,phT,,,
pi-,2.43,0.098,0.52,0.35,0.28,0.0103,0.0098,0.0044,0.010742439,phT,,,
pi-,2.36,0.092,0.546,0.349,0.345,0.0014,0.0091,0.0031,0.009613532,phT,,,
pi-,2.36,0.092,0.546,0.349,0.345,0.0014,0.0091,0.0031,0.009613532,phT,,,
pi-,2.3,0.086,0.576,0.347,0.446,-0.001,0.0069,0.0007,0.006935416,phT,,,
pi-,2.28,0.081,0.606,0.359,0.594,0.006,0.008,0.0046,0.009228218,phT,,,
pi-,2.26,0.076,0.643,0.409,0.846,0.0192,0.01,0.0044,0.0109252,phT,,,
k+,1.29,0.036,0.704,0.363,0.527,0.0527,0.0233,0.0161,0.02832137,x,,,
k+,1.65,0.056,0.571,0.384,0.436,0.0602,0.0193,0.0158,0.024942534,x,,,
k+,2.01,0.074,0.524,0.392,0.398,0.0801,0.0233,0.0156,0.02804015,x,,,
k+,2.39,0.093,0.498,0.401,0.378,0.0715,0.0199,0.0097,0.022138202,x,,,
k+,2.39,0.093,0.498,0.401,0.378,0.0715,0.0199,0.0097,0.022138202,x,,,
k+,2.93,0.118,0.479,0.404,0.366,0.0884,0.0199,0.0084,0.021600231,x,,,
k+,3.79,0.157,0.468,0.408,0.358,0.0773,0.0186,0.0064,0.019670282,x,,,
k+,5.86,0.252,0.451,0.41,0.357,0.0739,0.02,0.0066,0.021060864,x,,,
